item_id,restaurant_id,item_name,category,price,is_available,is_veg,calories
ITEM00001,REST0087,E-Enable Customized Bandwidth,Starters,296.03,True,True,197
ITEM00002,REST0010,Integrate One-To-One Models,Combos,572.73,True,True,118
ITEM00003,REST0047,Envisioneer Frictionless E-Tailers,Desserts,165.93,True,False,412
ITEM00004,REST0004,Deliver 24/7 E-Tailers,Combos,148.47,True,False,627
ITEM00005,REST0012,Target Bricks-And-Clicks Web Services,Combos,183.04,False,True,656
ITEM00006,REST0042,Transition Synergistic Action-Items,Combos,353.51,True,False,766
ITEM00007,REST0004,E-Enable Synergistic Platforms,Main Course,561.66,True,True,544
ITEM00008,REST0084,Scale Next-Generation E-Commerce,Beverages,365.63,False,False,330
ITEM00009,REST0092,Benchmark Customized Networks,Rice,183.92,True,False,768
ITEM00010,REST0092,Deliver Open-Source E-Tailers,Rice,292.25,True,True,724
ITEM00011,REST0006,Harness 24/7 Synergies,Breads,264.72,True,True,458
ITEM00012,REST0142,Expedite Visionary Experiences,Desserts,75.61,True,True,482
ITEM00013,REST0035,Whiteboard Value-Added Paradigms,Rice,330.85,True,False,611
ITEM00014,REST0175,Synthesize Cutting-Edge Initiatives,Breads,119.3,True,True,143
ITEM00015,REST0186,Morph User-Centric E-Business,Beverages,513.23,True,False,464
ITEM00016,REST0065,Strategize Frictionless Applications,Combos,351.93,False,True,721
ITEM00017,REST0147,Embrace Wireless Models,Starters,514.53,True,True,210
ITEM00018,REST0057,Streamline Dynamic Synergies,Main Course,575.82,True,True,322
ITEM00019,REST0193,Redefine Rich Deliverables,Beverages,568.75,True,True,485
ITEM00020,REST0013,Reinvent Turn-Key Models,Beverages,105.24,True,False,364
ITEM00021,REST0136,Brand Mission-Critical Technologies,Rice,569.65,True,False,370
ITEM00022,REST0018,Cultivate One-To-One Vortals,Rice,487.66,True,True,311
ITEM00023,REST0163,Grow Bleeding-Edge Models,Main Course,477.71,True,True,595
ITEM00024,REST0087,Harness Proactive Portals,Starters,99.57,True,True,413
ITEM00025,REST0114,Incubate End-To-End Metrics,Beverages,148.73,True,False,869
ITEM00026,REST0026,Deploy Back-End Roi,Desserts,586.34,True,True,486
ITEM00027,REST0166,Utilize Distributed Convergence,Rice,167.35,True,False,346
ITEM00028,REST0066,Re-Intermediate Holistic Convergence,Beverages,142.98,True,True,666
ITEM00029,REST0026,Transform End-To-End Eyeballs,Starters,249.29,False,False,449
ITEM00030,REST0126,Engage Killer Niches,Breads,552.35,True,False,171
ITEM00031,REST0057,Maximize User-Centric Synergies,Starters,311.91,True,True,395
ITEM00032,REST0025,Disintermediate Robust Info-Mediaries,Beverages,556.32,True,False,312
ITEM00033,REST0030,Enable Innovative Deliverables,Beverages,233.89,True,False,394
ITEM00034,REST0135,Monetize World-Class Models,Main Course,174.59,True,False,270
ITEM00035,REST0027,Architect Bleeding-Edge E-Business,Beverages,322.36,True,True,345
ITEM00036,REST0139,Benchmark Mission-Critical Content,Rice,388.51,True,True,240
ITEM00037,REST0101,Leverage Dynamic Experiences,Desserts,265.32,True,False,715
ITEM00038,REST0136,Aggregate Vertical Convergence,Main Course,240.32,False,False,716
ITEM00039,REST0011,Optimize Strategic E-Markets,Beverages,169.93,True,False,339
ITEM00040,REST0126,Enable B2C Portals,Starters,201.25,True,False,410
ITEM00041,REST0030,Enable Intuitive Experiences,Beverages,420.21,True,True,515
ITEM00042,REST0094,Syndicate Customized Solutions,Starters,253.43,True,False,497
ITEM00043,REST0116,Generate End-To-End E-Markets,Starters,93.87,True,True,891
ITEM00044,REST0015,Embrace Sticky Relationships,Beverages,125.99,True,False,121
ITEM00045,REST0184,Redefine Rich Channels,Starters,254.81,True,True,177
ITEM00046,REST0035,E-Enable Dot-Com Methodologies,Desserts,558.48,True,True,574
ITEM00047,REST0039,Scale Mission-Critical Systems,Breads,258.47,True,True,806
ITEM00048,REST0024,Embrace Robust E-Commerce,Main Course,83.35,True,False,452
ITEM00049,REST0008,Embrace Cross-Media Models,Beverages,279.9,True,False,470
ITEM00050,REST0043,Reinvent Turn-Key Metrics,Combos,417.85,True,False,120
ITEM00051,REST0170,Visualize Innovative Action-Items,Breads,376.48,True,True,606
ITEM00052,REST0084,Cultivate Bleeding-Edge Synergies,Starters,203.34,True,True,259
ITEM00053,REST0169,Transform Extensible Schemas,Starters,428.45,True,False,843
ITEM00054,REST0047,Unleash Cross-Media Supply-Chains,Main Course,396.84,True,True,460
ITEM00055,REST0026,Morph Transparent Relationships,Breads,144.7,True,False,655
ITEM00056,REST0180,Deliver Leading-Edge Interfaces,Breads,139.18,True,False,396
ITEM00057,REST0150,Optimize Out-Of-The-Box E-Services,Beverages,350.95,True,True,451
ITEM00058,REST0133,Utilize Clicks-And-Mortar Experiences,Starters,412.69,True,False,279
ITEM00059,REST0143,Disintermediate Extensible E-Services,Combos,579.05,False,False,571
ITEM00060,REST0164,Innovate Best-Of-Breed Mindshare,Rice,282.06,True,False,494
ITEM00061,REST0101,Engage Value-Added E-Commerce,Combos,470.72,True,False,712
ITEM00062,REST0063,Benchmark Visionary Eyeballs,Beverages,114.09,True,False,726
ITEM00063,REST0093,Synergize Efficient Models,Beverages,539.28,True,True,312
ITEM00064,REST0177,Cultivate Distributed Synergies,Beverages,398.21,True,True,629
ITEM00065,REST0055,Implement B2B Solutions,Main Course,395.97,True,True,494
ITEM00066,REST0072,Innovate Sticky E-Markets,Main Course,128.34,True,True,126
ITEM00067,REST0060,Productize Cross-Platform Metrics,Beverages,71.77,True,True,548
ITEM00068,REST0185,Repurpose Robust Infrastructures,Desserts,435.8,True,True,537
ITEM00069,REST0029,Orchestrate Integrated Vortals,Rice,114.38,True,False,384
ITEM00070,REST0019,E-Enable Plug-And-Play Web-Readiness,Breads,119.83,False,False,760
ITEM00071,REST0073,Evolve Integrated E-Business,Breads,153.13,True,True,896
ITEM00072,REST0138,Unleash Granular Relationships,Starters,103.76,True,True,748
ITEM00073,REST0101,Brand Compelling E-Markets,Breads,393.97,False,True,288
ITEM00074,REST0138,Generate Cross-Platform Roi,Combos,282.1,True,True,801
ITEM00075,REST0057,Synthesize Compelling Networks,Breads,196.35,True,True,298
ITEM00076,REST0182,Incentivize Integrated Metrics,Rice,292.41,True,False,201
ITEM00077,REST0184,Utilize Intuitive E-Services,Breads,514.28,True,False,578
ITEM00078,REST0068,Engineer Bricks-And-Clicks E-Services,Combos,559.89,True,False,702
ITEM00079,REST0197,Benchmark Transparent E-Business,Rice,318.11,True,True,323
ITEM00080,REST0087,Optimize Value-Added Platforms,Main Course,361.71,False,True,616
ITEM00081,REST0103,Enable Ubiquitous Users,Rice,191.46,True,True,626
ITEM00082,REST0183,Facilitate Innovative Schemas,Main Course,332.48,True,False,540
ITEM00083,REST0197,Envisioneer Compelling Technologies,Rice,461.47,True,False,616
ITEM00084,REST0072,Implement Vertical Convergence,Beverages,320.68,True,True,329
ITEM00085,REST0129,Enhance Cross-Platform Partnerships,Combos,216.14,True,False,213
ITEM00086,REST0118,Benchmark Intuitive Mindshare,Desserts,370.12,True,True,615
ITEM00087,REST0140,Deliver Out-Of-The-Box Models,Main Course,570.66,True,True,283
ITEM00088,REST0163,Transform Interactive Interfaces,Main Course,538.39,True,False,824
ITEM00089,REST0116,Scale B2C Metrics,Breads,473.08,True,True,858
ITEM00090,REST0082,Generate World-Class Models,Main Course,201.92,True,False,133
ITEM00091,REST0161,Leverage Leading-Edge Portals,Rice,182.86,True,True,395
ITEM00092,REST0109,Drive Robust Info-Mediaries,Beverages,511.2,True,True,552
ITEM00093,REST0153,Drive Transparent Deliverables,Beverages,149.72,True,True,807
ITEM00094,REST0016,Expedite Proactive Supply-Chains,Breads,383.09,False,True,604
ITEM00095,REST0136,Implement Collaborative Models,Rice,291.41,True,True,505
ITEM00096,REST0035,Engage Virtual Architectures,Rice,307.39,True,False,226
ITEM00097,REST0174,Re-Contextualize Viral Users,Starters,300.0,True,True,241
ITEM00098,REST0139,Enable Distributed Channels,Main Course,544.97,True,True,747
ITEM00099,REST0189,Innovate Extensible E-Business,Breads,97.9,True,False,227
ITEM00100,REST0044,Engage Vertical Eyeballs,Beverages,480.6,True,False,785
ITEM00101,REST0139,Empower User-Centric Web Services,Combos,509.26,True,False,829
ITEM00102,REST0139,Deploy Value-Added Networks,Desserts,568.58,True,False,725
ITEM00103,REST0150,Implement Integrated E-Commerce,Starters,298.93,True,False,449
ITEM00104,REST0085,Expedite Seamless Supply-Chains,Rice,325.04,True,True,623
ITEM00105,REST0082,Seize Back-End Interfaces,Main Course,578.71,True,False,562
ITEM00106,REST0190,Expedite Revolutionary Partnerships,Beverages,302.15,True,True,343
ITEM00107,REST0176,Deploy Compelling Deliverables,Combos,326.95,True,True,663
ITEM00108,REST0102,Re-Intermediate User-Centric Platforms,Starters,232.74,True,True,285
ITEM00109,REST0063,Expedite Sticky Vortals,Rice,67.4,True,True,332
ITEM00110,REST0179,Evolve Collaborative Supply-Chains,Beverages,288.18,True,False,613
ITEM00111,REST0173,Strategize Real-Time Convergence,Beverages,410.3,True,False,100
ITEM00112,REST0033,Monetize Cross-Platform Networks,Rice,429.47,True,True,338
ITEM00113,REST0060,Maximize Out-Of-The-Box Metrics,Rice,53.58,True,False,154
ITEM00114,REST0123,Facilitate Distributed Applications,Breads,490.58,True,False,594
ITEM00115,REST0002,Optimize Ubiquitous Infrastructures,Beverages,320.83,False,True,831
ITEM00116,REST0141,Cultivate Front-End Metrics,Rice,336.41,True,False,715
ITEM00117,REST0194,Re-Intermediate Innovative Bandwidth,Desserts,578.96,True,True,517
ITEM00118,REST0057,Envisioneer Seamless Roi,Combos,206.45,True,False,547
ITEM00119,REST0171,Optimize Front-End Niches,Combos,468.91,True,True,437
ITEM00120,REST0045,Repurpose User-Centric Supply-Chains,Desserts,366.13,True,False,376
ITEM00121,REST0031,Generate Collaborative E-Markets,Combos,435.44,True,False,109
ITEM00122,REST0138,Scale Robust Vortals,Starters,279.8,True,True,440
ITEM00123,REST0023,Redefine Bleeding-Edge Platforms,Combos,203.56,True,True,203
ITEM00124,REST0029,Repurpose Intuitive Portals,Main Course,350.37,True,True,444
ITEM00125,REST0031,Leverage B2C Mindshare,Combos,256.22,False,True,469
ITEM00126,REST0018,Facilitate Robust E-Commerce,Desserts,172.6,True,False,297
ITEM00127,REST0011,Architect B2C Partnerships,Breads,511.58,False,True,113
ITEM00128,REST0103,Incubate Holistic Channels,Rice,311.71,True,True,779
ITEM00129,REST0047,Grow User-Centric Action-Items,Main Course,516.02,True,False,437
ITEM00130,REST0003,Leverage Proactive Partnerships,Breads,310.72,False,True,641
ITEM00131,REST0130,Syndicate Extensible Web-Readiness,Beverages,356.24,True,False,556
ITEM00132,REST0182,Integrate Ubiquitous Synergies,Main Course,597.4,True,True,625
ITEM00133,REST0072,Harness Impactful Markets,Desserts,573.33,True,True,849
ITEM00134,REST0159,Deliver 24/365 Experiences,Breads,199.43,True,True,535
ITEM00135,REST0136,Implement Wireless E-Business,Rice,527.76,True,False,465
ITEM00136,REST0171,Leverage Innovative Networks,Rice,264.72,True,True,500
ITEM00137,REST0176,Productize Efficient Channels,Combos,89.19,True,True,673
ITEM00138,REST0130,Iterate User-Centric Applications,Breads,366.68,False,True,581
ITEM00139,REST0022,Redefine Best-Of-Breed Infrastructures,Beverages,587.38,True,False,209
ITEM00140,REST0124,Iterate Enterprise Channels,Combos,585.87,False,True,505
